z,n,electronCapture(keV)
51,87,-9140
52,87,-10155
53,87,-7238.7734
54,87,-8270.643
55,87,-5284.9078
56,87,-6261.6865
57,87,-3082.53
58,87,-4231.7331
59,87,-1047.6178
60,87,-2702.7013
61,87,542.1891
62,87,-1071.4936
63,87,2258.9662
64,87,464.1779
65,87,3990
66,87,2170.4134
67,87,5754.6363
68,87,3830.6268
69,87,7377.2657
70,87,5289.3667
71,87,8797.4201
72,87,6856.003
73,87,10115.0475
74,87,8272
75,87,11546
76,87,9666
77,87,12941
78,87,11277
51,88,-10740
52,88,-11977
53,88,-9257
54,88,-10426.6792
55,88,-7472.6365
56,88,-8495.7679
57,88,-5319.1425
58,88,-6404.6947
59,88,-3430.1913
60,88,-4872.6133
61,88,-1688.8697
62,88,-3454
63,88,-76.6182
64,88,-1818.8037
65,88,1569.334
66,88,-237.308
67,88,3116.1405
68,88,1326.7201
69,88,4704.369
70,88,2693.5796
71,88,6124.9081
72,88,4331.1951
73,88,7537.2421
74,88,5782.188
75,88,8906.1859
76,88,7047.718
77,88,10151
78,88,8523
51,89,-9900
52,89,-11129
53,89,-8253
54,89,-9413
55,89,-6399.0606
56,89,-7461.7591
57,89,-4354.9052
58,89,-5335.5046
59,89,-2137.0282
60,89,-3336.1617
61,89,82.6155
62,89,-1190.2198
63,89,1874.4774
64,89,484.5225
65,89,3549.6514
66,89,2094.5
67,89,4990.9836
68,89,3419.2146
69,89,6600.6151
70,89,4736.8869
71,89,7893.2846
72,89,6246.5319
73,89,9387.0211
74,89,7626.1952
75,89,10763.1138
76,89,8913
77,89,12126
